"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",11.8606543195194,0.00671653325032178,0.340518671308111,11.1800909603847,11.6401427626819,11.8652479910922,12.0876334344777,12.535242820006,2570.34560631644,1.00057556844894
"kappa_0",0.898477049486884,0.000919569475486904,0.0472353936018867,0.804055464364177,0.865188183262689,0.899796636174219,0.932495377159341,0.986297129557596,2638.55398163412,1.00067593353176
"psi",0.00112035185260805,6.7492987699913e-06,0.000354384190063978,0.000596959857151635,0.000876271809325341,0.00106792762737279,0.00129836272376163,0.00195818879896453,2756.96574853664,1.00039732490992
"delta",1.54490680764979,0.00442850219197512,0.249255608972787,1.09738163146507,1.36905779757702,1.53191577976713,1.70874324639344,2.06931863013168,3167.93419679608,0.999590802583233
"r_d",-3.02747669236269e-05,1.88664072263151e-07,1.19590644549611e-05,-5.45038883483397e-05,-3.7680587297439e-05,-2.99899904547905e-05,-2.27220791565634e-05,-7.14973986562568e-06,4018.05617800459,0.999672069720157
"deltaYFP",0.40559475113309,0.000781068149493366,0.0471651524469249,0.315873484973141,0.3734225806246,0.405651143459398,0.437516222476762,0.500892658013847,3646.40268907673,1.00003873948574
"Beta",5.32205327634835,0.0126635629488324,0.725814906404238,3.97410696856466,4.81745392675793,5.29056985592332,5.8107539538664,6.81407317303771,3285.03453424124,0.999491795530054
"sigma1",1.05814980468355,0.00272512439402759,0.165014397150499,0.788417407351251,0.938183170738883,1.03914619837871,1.15789436458222,1.42474583074708,3666.6631300779,1.00069220647645
"sigma2",0.668978749442908,0.00175645358468916,0.104392657355774,0.500479548676944,0.595539126041497,0.656428434981599,0.730198646459523,0.900374130480302,3532.37294790461,1.00062310383256
"sigma3",0.295292750575808,0.000688253421974663,0.0461300168540031,0.220584962554302,0.26226201994548,0.290491369752842,0.321934453141298,0.402112916691086,4492.31775714738,0.999914844913901
"sigma4",0.159539761017841,0.000437934979649981,0.0267726395315292,0.115444182947083,0.140774689997587,0.156452852763584,0.174304132763397,0.22124204389255,3737.34431462289,1.00018689054548
