"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",9.05575927916167,0.0291830982772522,1.42572253173053,5.73758879046444,8.18839217304304,9.2668882994445,10.1461221209338,11.211257795521,2386.75164688243,1.00067490845945
"kappa_0",0.897548633342031,0.000822435571094802,0.0464992619894565,0.801468874687497,0.866738378782539,0.897840788914398,0.931192452337175,0.982991802023579,3196.60039466402,1.0004317204426
"psi",0.00328537839498011,1.30919757765579e-05,0.000687807157127599,0.00218076360586536,0.00280538592714235,0.00320536895570242,0.00366403589942313,0.0048878905607629,2760.08842091729,0.999534673237271
"rho",1.72039648811561,0.00475381595086715,0.270896935926578,1.23008460291592,1.52786375415471,1.70834536278726,1.89914562516559,2.27147985155186,3247.30782144596,0.999668332317236
"r_d",3.7593256280778e-05,2.48699179652119e-07,1.56947338453272e-05,4.69899778348e-06,2.79905481878661e-05,3.75218560347817e-05,4.73715309774756e-05,6.88643787551635e-05,3982.5313667129,0.999573979981795
"deltaYFP",0.140844001793761,0.000462903639857288,0.0282133632437746,0.0869400986027358,0.121762362611075,0.139577353349127,0.159845792289321,0.198068364272349,3714.74091626217,0.999899687037316
"Beta",5.58968284798587,0.0119331384850689,0.754917827711527,4.21743032549527,5.06307900832599,5.55906668423396,6.08749618560236,7.13921222598534,4002.1190352364,0.999674326421787
"sigma1",0.687562480848899,0.00179890246094848,0.105796644088747,0.512119122797389,0.614608102911156,0.675781858829073,0.745761669725014,0.938437673250066,3458.82470266335,0.999473011844731
"sigma2",0.563713306402127,0.00122466868762128,0.0820373056453674,0.427067396912698,0.506345617639386,0.555215158723532,0.61124425431502,0.753574436067034,4487.30458235718,1.0006609248851
"sigma3",0.136652092546905,0.000480492283180289,0.0250522038604214,0.0975737375176319,0.118389973251502,0.133421611540894,0.151175273994573,0.195900398454706,2718.43554245028,1.00073326674815
"sigma4",0.246875560237187,0.000594258440941127,0.0380295202876688,0.184218694644439,0.219852422756981,0.242599075076514,0.268841877272431,0.333579464913487,4095.34954895945,1.00069717060577
