"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",9.04620854695214,0.0286712523360411,1.39851109429681,5.85514199533559,8.19566310591658,9.25666015322091,10.100043530307,11.1279892731537,2379.24138774264,0.999628661433812
"kappa_0",0.896807168288265,0.00081311390750871,0.0470833044941967,0.798637922630229,0.864902587428445,0.899467787232857,0.930446900689924,0.982841233512283,3352.98100345927,0.999777715907412
"psi",0.00326455700910177,1.15570984690742e-05,0.000673241544769535,0.00217120030697104,0.00280359845884923,0.00316924645088829,0.00365005184275036,0.00481885879237368,3393.47136209945,1.00014215716505
"delta",1.7329508600598,0.00477842152928694,0.276285992289603,1.25510114062439,1.53534404940945,1.71725555774352,1.9065051489267,2.31871507638896,3343.09575824563,0.999953120409845
"r_d",-3.82691313239156e-05,2.643415735032e-07,1.58747271408673e-05,-7.06957238529206e-05,-4.7850066705532e-05,-3.82810365429486e-05,-2.86403598006848e-05,-7.63861111111603e-06,3606.46396244016,1.00061222286777
"deltaYFP",0.140820959926778,0.00052597018268661,0.0287247598732793,0.0837835440534928,0.121976527339433,0.140622698795858,0.160375306758008,0.196193896352223,2982.56944515787,1.00076367355855
"Beta",5.61580978063487,0.0126459497961871,0.740268178945446,4.20650744880233,5.1116638131786,5.58044388048692,6.11523233025746,7.11506184732096,3426.69346099653,1.00036422660664
"sigma1",0.686683288471967,0.00190825831568403,0.107857182903895,0.510144583167907,0.611719204765794,0.675640753452073,0.750173962306267,0.924264936847998,3194.65392766189,1.00019600828226
"sigma2",0.564095017841372,0.00135895595204087,0.0838951501257687,0.425876975523671,0.505291243230115,0.555628571976695,0.612450457879506,0.761587449563059,3811.2106271787,1.00000929722291
"sigma3",0.13644543901547,0.000404326572010836,0.0238477445836707,0.099062935371828,0.119227490113288,0.133070269366313,0.150397344430113,0.192148374990805,3478.80476093632,1.00053266663893
"sigma4",0.246787604720015,0.000596358370145793,0.0383189559043476,0.18544987290266,0.219050194792426,0.242164001242061,0.269953212496537,0.330523655301292,4128.69399845671,0.999631235197746
