"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",12.2099161757739,0.00652976821158037,0.348939153085552,11.5299495459365,11.9782061265525,12.211933367629,12.4381145466155,12.8959831024992,2855.64274864959,1.00111641168965
"kappa_0",0.898337951657285,0.000772375016862203,0.0473451799247783,0.800034689813051,0.865890307282449,0.900880721510171,0.931901171277786,0.984348312141199,3757.46641317322,1.00019913091732
"psi",0.00170457121832048,8.51383265383546e-06,0.000485416664554718,0.000945129957949772,0.00135787863505846,0.0016371919431491,0.00198159956431412,0.00281576412692511,3250.71686544996,1.00069018531775
"rho",1.58936254012135,0.00467409657297024,0.270138291219626,1.11589304080445,1.39441647963568,1.57699124047489,1.76094380294926,2.15666438806056,3340.23432223365,1.00058504407875
"deltaYFP",0.443420118570596,0.0007607647315637,0.0462692211129111,0.353985867158269,0.412957656536719,0.442585939900321,0.47425259907573,0.535004080432863,3698.99407571789,1.00067182507108
"Beta",5.24095993080365,0.0114451932994352,0.743332923774394,3.82648282798905,4.74724406748762,5.22427278676419,5.71891595509167,6.75218761748094,4218.13499171205,1.00038223113739
"sigma1",1.23171173341204,0.00263241371575236,0.180234875507907,0.927213841924278,1.10872979105753,1.21208390836227,1.3391842005683,1.63541125251948,4687.80320801315,0.999842228556022
"sigma2",0.661560184513151,0.00190244099031278,0.108609266703012,0.487881078592046,0.585272881801644,0.647018672792163,0.722652022997197,0.917841590453986,3259.20271508423,1.00012598933114
"sigma3",0.295515040860539,0.000644993901634528,0.0458401136670857,0.222392281155202,0.262376190881217,0.290817422895865,0.322053904107116,0.39958442786579,5051.03240609862,1.00033561091434
"sigma4",0.158650003703431,0.000401155185772257,0.0267597387743068,0.116006272671089,0.14030139868559,0.154639494202064,0.173639230683652,0.222877146846271,4449.78387263174,1.00001711277482
