"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",11.7756855110117,0.0201059387062251,0.598339480416835,10.6222430850453,11.3940447759969,11.7546550099323,12.1649465678685,13.0043463853074,885.618359979066,1.0071773963554
"kappa_0",0.895558787718857,0.0017347023913293,0.0484210217998603,0.796682000804848,0.862674184472484,0.896344135441554,0.928458293915826,0.987472691671203,779.144385275525,1.00495644522979
"psi",0.00120377215718882,1.50189816694835e-05,0.000441702547546798,0.000598267697533644,0.000891072135750209,0.00110813611285782,0.0014200361798741,0.00232414070395648,864.925763662689,1.0065896430461
"rho",1.28245521967073,0.00763577663635406,0.193574857555248,0.936461661391053,1.14982774252493,1.27228943680195,1.39897869626961,1.68626403681872,642.675087090188,1.0010228488481
"delta",1.29426411480269,0.00764293288397914,0.19378383080848,0.949993584634591,1.1621640953791,1.28365775998857,1.41048988509927,1.69878024465356,642.857895531144,1.00087119872987
"Beta",5.78608708495778,0.0216722346870261,0.725489669971622,4.41418361298558,5.27750242710496,5.76475773907764,6.27381104271439,7.22687285640927,1120.61150278155,0.999501874534521
"sigma1",1.1565293648854,0.00563252996997524,0.199005178485383,0.848091385972897,1.01733835467086,1.12661457625747,1.27344421434516,1.61688555659822,1248.30794017658,0.999140706860521
"sigma2",0.711345749949179,0.00425933385044888,0.125977185997557,0.513146757439182,0.62418726201951,0.699095411745791,0.778338352857532,1.0013162609065,874.783217516789,1.00428689163565
"sigma3",0.298505240013266,0.0011818631249456,0.047339951806476,0.219943086136704,0.265438734366356,0.293297139116056,0.325760794215722,0.408664222756937,1604.43178786694,1.00255959379488
"sigma4",0.16777059961065,0.000752467364660485,0.029547595649165,0.119726673057235,0.147468222128834,0.165054716324518,0.184637679474398,0.23734137866956,1541.9452614863,1.00038644353387
