"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",11.830995312106,0.00947340106541586,0.633952253096239,10.5846959244061,11.4165076008876,11.8182110424699,12.2375949627542,13.1020832141078,4478.17696250727,1.00041252695715
"kappa_0",0.898011223885218,0.00077872283149814,0.0478839780149026,0.799757260822341,0.865453460166173,0.899633507188425,0.931988645849069,0.985684389670414,3781.06923166624,1.00007068275634
"psi",0.00132948324750986,7.76917592016257e-06,0.000516988472677667,0.000629332253892698,0.000975753958069317,0.00122899410800679,0.0015739458496127,0.00263790877169021,4428.04278540489,0.999937235465374
"delta",1.63198609407524,0.00383955182744478,0.236833835373602,1.19794151124692,1.46785641574784,1.62356799049737,1.78570528730822,2.11718992381169,3804.75264755941,1.0007332585343
"r_d",1.11982823205972e-05,1.61197543977408e-07,1.35234932414144e-05,3.02033750036936e-07,3.02577108442628e-06,7.24064955856004e-06,1.45811346770572e-05,4.54437117544669e-05,7038.18917050958,1.00017542622072
"rho0",1.62120968070913,0.00384198638907248,0.236728702776776,1.18870610847086,1.45784095572684,1.61266763530491,1.7754878054168,2.10827376010442,3796.55934300909,1.00073637089803
"Beta",5.21754107924163,0.0102221018984676,0.721605344138393,3.85697418894733,4.71082187354243,5.19086165041496,5.690436731483,6.70673349137873,4983.32337426047,1.00132862382093
"sigma1",1.21592076143184,0.00248589446912548,0.19342526395874,0.892379083609072,1.07735575170674,1.19682102152288,1.3332246310066,1.64360222924584,6054.25933691738,1.00106772420835
"sigma2",0.688635703085483,0.00152415316256382,0.113173633649236,0.507473258873076,0.607772058070366,0.675802714274912,0.754927550191386,0.950105907805368,5513.57512925456,0.999865417500298
"sigma3",0.294358802867442,0.000553585343766104,0.0457108615750173,0.220669655413664,0.261948803530852,0.288234270269214,0.321209705861477,0.399651975065115,6818.19859729275,1.00159609435304
"sigma4",0.157289214992965,0.000322308094406244,0.0261816063304594,0.115232460272416,0.138444589969632,0.154233055201036,0.172347004683938,0.217671188012744,6598.57491977547,1.00022039654223
