Lamis.ID,days.post.bmt,age.at.S1K,age.at.bmt,total_counts,fd,host_ki67_Tra,donor_ki67_Tra
591830,12,72,60,2150982.07799911,0.088426947229529,0.965577279724767,1
591831,12,72,60,1175368.96880725,0.080828025639154,0.961149919276065,1
591927,12,77,65,1920587.604411,0.085637793038852,0.914514545605509,0.994900836561121
682687,12,113,99,2674120.37804974,0.188468317724268,0.776902965934325,0.973860354200268
682688,12,113,99,6719773.89210442,0.392253011997024,0.882135232590736,0.975390899200777
386203,21,91,70,5900969.90060158,0.70213755368506,0.647453047627151,0.852801536515028
397523,21,75,54,6371933.25730974,0.751411828868959,0.772776190471678,0.908477508116397
559343,28,79,51,2555267.28339373,0.681823250332307,0.935236299781641,0.990487589690681
559345,28,79,51,1694384.91852658,0.519607489772434,0.90897578358869,0.97872410837411
682691,28,108,80,3487395.26712368,0.778373871992455,0.61974381116456,0.734973887285815
682692,28,108,80,3350776.91312776,0.806400681003586,0.790272811300493,0.902554292700129
386217,33,103,70,5335381.10377598,0.928360800482888,0.756065540320828,0.896216858022741
397522,33,87,54,2366680.32492189,0.854687732295092,0.699778526392465,0.839153039032603
401432,33,78,45,3687352.82611083,0.93863781302024,0.630958342008583,0.855426676486522
682625,42,122,80,1439928.50665973,0.624272277262563,0.848756314939081,0.937759672233825
488413,68,140,72,1277116.98539584,0.96592648182092,0.793136011530943,0.966298872058961
559344,68,119,51,1149929.93945199,0.599741088507409,0.932495251172464,0.972931639680495
559409,68,119,51,1191867.58340671,0.777822472100551,0.925541825853793,0.982964910013386
320998,110,294,184,1093040.78194703,0.775516203162191,0.899975348040088,0.945447688239761
358352,110,231,121,860156.216475607,0.866778471039999,0.877457227081439,0.918187800740502
405144,110,150,40,1047621.63891063,0.7405218247365,0.902058778104542,0.962036884448694
591924,147,217,70,2493414.63224683,0.68575479631784,0.957916833367721,0.974353139089372
591925,147,217,70,2531252.81709787,0.672844081105094,0.902448169038641,0.938141105492289
591926,147,217,70,4341818.85956496,0.568446621577808,0.956303958289851,0.961446748800665
358353,152,273,121,3987286.98941829,0.910284789487854,0.663247960814039,0.778442371970072
405142,152,192,40,8596358.07958515,0.941223361657113,0.917051355339385,0.942957506604482
405143,152,273,121,7412052.65133453,0.679151062944898,0.926530024910749,0.95390868856452
599410,210,261,51,4358049.71455085,0.816193173392552,0.903661360033431,0.970128938091957
599411,210,261,51,1714643.76683143,0.594423999637182,0.906138578081679,0.927055185366302
559411,238,289,51,1203817.19975526,0.702149025492383,0.70160245219835,0.723146306241283
203491,264,442,178,1164418.31093131,0.738332494076626,0.656186137886065,0.734805302376492
233207,264,382,118,2261563.01452161,0.72679036128482,0.66180687723792,0.788506873249496
256767,264,330,66,2957742.96763394,0.554344513769268,0.695170800307935,0.75102040189134
358351,334,455,121,3829468.88612091,0.90266145730106,0.983055421252506,0.991777512323535
405145,334,374,40,1957111.00926348,0.547000132630283,0.932863084521694,0.960456470656498
405146,334,374,40,2457149.82651127,0.634079782009832,0.938290753369576,0.965905890531284
486691,378,442,64,1575883.81660873,0.502204177430726,0.486962315496717,0.576919173657593
378547,403,456,53,1141446.86777446,0.68605807613301,0.873676198813971,0.924422704439445
408561,434,524,90,2738997.09463592,0.926768612842302,0.593179518754281,0.672718657099269
408562,434,524,90,3858943.54576547,0.784462121863784,0.936199797422871,0.952385766582884
408560,476,566,90,1955060.24579026,0.984711669241732,0.454648915282237,0.443945488183988
