"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y0_Log",8.51743862247072,0.0327109417862799,1.43337689125184,5.31302943410805,7.63652167916743,8.62040207513209,9.50659161713108,11.0089484074287,1920.14798452549,1.00012542631325
"kappa_0",0.898052537945451,0.00115490649122033,0.0471168769473355,0.803183954719346,0.867163957427351,0.898908391820681,0.93199019187261,0.985039307313923,1664.40628868659,1.00082274430064
"psi",0.00193261293631235,1.55576359269612e-05,0.000662203682377271,0.001048664026087,0.00148144086125604,0.00179263115795802,0.00224160665902551,0.00352265817336699,1811.74042468628,1.00029363735136
"rho",1.42829479991915,0.00514596906510242,0.197744297005213,1.05945093957393,1.28775350198091,1.42036072671799,1.56233000763687,1.83231499564856,1476.6364757362,1.00071159572567
"delta",1.46172141993284,0.00516069386645396,0.19876704570078,1.09034932372882,1.32122969474029,1.45468061129109,1.59855050464921,1.87577413768168,1483.44883148862,1.00085785490286
"Beta",6.04790036283343,0.0162472975076627,0.738922663904703,4.67135279781829,5.52861493288283,6.01855526356117,6.55206337364721,7.55390561840088,2068.40561708398,0.9998403477214
"r_psi",0.00278802416109776,2.30877340879594e-05,0.00119607618971746,0.000409165827108885,0.00200368733101156,0.00278477531773872,0.00357548813644347,0.00513153039437127,2683.83039037928,1.00195886362133
"sigma1",0.664508759783612,0.00286743348435656,0.103048829323215,0.502434431228389,0.592326953192841,0.651170265966374,0.721911326937209,0.911489405843024,1291.51489717838,0.99948860129186
"sigma2",0.54361079100574,0.00158593196306133,0.0819897964751271,0.409921040206415,0.484739255890981,0.534053973525533,0.593198207819037,0.728685630178622,2672.70184015395,1.00015439450586
"sigma3",0.153834297261943,0.000714527634666297,0.0291740732710058,0.107929480813814,0.132956167695021,0.150358291027252,0.170938330837138,0.2192983979139,1667.07860834879,1.00004471625279
"sigma4",0.245647253422392,0.000757186981186495,0.0373522105117811,0.185685349648595,0.219864507358794,0.241562807646701,0.268184883334683,0.330992874938005,2433.47192761248,1.00014159254798
